id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
165;Now and Again;en;24/09/1999;-;-;-
166;Lingo;en;28/09/1987;-;-;-
167;La Femme Nikita;en;13/01/1997;-;-;-
168;Are You Being Served?;en;08/09/1972;BBC;-;-
169;Fernwood 2 Night;en;04/07/1977;-;-;-
170;Saved;en;12/06/2006;-;-;-
171;Martin;en;27/08/1992;HBO Independent Productions;-;-
172;Arliss;en;10/08/1996;Tollin/Robbins Productions;HBO;-
173;Degrassi Junior High;en;18/01/1987;Playing With Time;-;-
174;Monster Garage;en;23/06/2002;-;-;-
175;All Along the Watchtower;en;28/02/1999;-;-;-
177;I Am Weasel;en;22/07/1997;Hanna-Barbera Productions;-;-
178;My Life as a Teenage Robot;en;01/08/2003;Frederator Studios;Nickelodeon Animation Studio;-
179;Declassified;en;30/03/2004;-;-;-
180;Fantasy Island;en;26/09/1998;-;-;-
181;Which Way to the War;en;12/12/2012;-;-;-
182;Temptation;;12/12/2012;-;-;-
183;Britney and Kevin: Chaotic;en;17/05/2005;-;-;-
184;Jeremiah;en;03/03/2002;-;-;-
185;Carnivàle;;12/12/2012;-;-;-
186;Weeds;en;07/08/2005;Tilted Productions;Lionsgate Television;-
187;All Our Saturdays;en;14/02/1973;-;-;-
188;The Animals of Farthing Wood;en;06/01/1993;-;-;-
189;At Last the 1948 Show;en;15/02/1967;-;-;-
190;Def Comedy Jam;en;07/03/1992;Brillstein-Grey Entertainment;Russell Simmons Television;-
191;Chuck Norris: Karate Kommandos;en;15/09/1986;Ruby-Spears Enterprises;-;-
192;A Bit of Fry & Laurie;en;13/01/1989;BBC;-;-
193;Level Up;en;12/12/2012;-;-;-
194;NYPD Blue;en;21/09/1993;Steven Bochco Productions;20th Century Fox Television;-
195;Under One Roof;en;21/03/2002;-;-;-
196;Captain Star;en;08/07/1997;-;-;-
197;WCW Saturday Night;en;04/04/1992;-;-;-
198;Bless This House;en;02/02/1971;Thames Television;-;-
199;Kabuhayang Swak na Swak;en;12/12/2012;-;-;-
201;Balitanghali;en;12/12/2012;-;-;-
202;Nighty Night;en;06/01/2004;-;-;-
203;The Sarah Jane Adventures;en;24/09/2007;-;-;-
204;Freddie;en;12/10/2005;Hunga Rican;Excitable Boy!;Mohawk Productions
205;Garth Marenghi's Darkplace;en;29/01/2004;Channel 4 Television;Avalon Television;-
206;Picket Fences;en;18/09/1992;Nina Saxon Film Design;CBS;David E. Kelley Productions
